cgpa,iq_score,tenth_percentage,twelfth_percentage,graduation_percentage,internships,projects,technical_skills_score,communication_score,backlogs,certifications,work_experience_months,branch,placement_status,package_lpa
7.64,103,82.99,85.51,71.55,2,0,4.82,7.79,0,0,0,ECE,Not Placed,
6.24,87,77.74,75.62,75.83,1,6,6.17,6.24,0,1,0,CSE,Placed,5.88
6.61,112,72.4,67.4,61.51,1,1,8.54,9.85,0,0,0,IT,Not Placed,
5.86,95,75.02,81.45,70.33,0,4,5.03,6.63,0,2,0,ECE,Placed,4.22
8.2,102,91.6,73.04,69.24,1,4,4.12,7.74,1,0,3,CSE,Placed,7.33
6.95,90,83.55,79.29,70.37,1,4,8.04,6.47,1,0,0,CSE,Not Placed,
6.91,88,72.81,57.13,68.26,0,2,5.69,6.75,1,1,0,ECE,Placed,7.03
5.98,83,64.98,70.97,68.6,0,4,6.28,1.98,0,3,0,CE,Placed,2.65
6.28,82,67.89,62.89,72.6,0,1,8.73,7.57,1,0,0,CSE,Not Placed,
8.07,98,89.5,90.4,82.31,0,3,5.25,6.23,1,4,0,ECE,Not Placed,
6.78,90,63.19,72.3,75.41,2,4,8.16,6.56,1,1,0,CSE,Not Placed,
8.29,102,79.03,60.85,72.1,1,3,7.96,6.54,1,1,0,EE,Placed,9.19
6.17,99,75.33,67.07,58.73,0,2,5.14,8.86,2,0,0,CSE,Not Placed,
6.8,111,77.43,58.61,78.41,0,3,6.83,5.31,2,1,1,EE,Not Placed,
6.36,136,74.94,81.57,60.48,1,6,5.18,7.22,1,1,0,ME,Not Placed,
8.31,89,92.73,86.26,82.27,1,1,10.0,7.67,0,3,0,CSE,Placed,10.48
6.89,95,69.99,81.83,69.08,1,3,7.06,5.36,0,0,0,ME,Not Placed,
7.66,88,83.7,72.89,70.24,1,3,8.12,7.68,0,0,0,IT,Placed,9.26
6.98,86,75.95,75.45,71.79,0,1,9.31,4.89,0,2,0,CSE,Placed,8.22
7.13,103,85.77,75.98,63.53,1,0,6.88,5.19,1,0,0,IT,Not Placed,
6.2,105,75.8,84.19,72.24,1,4,7.98,7.01,0,1,0,CE,Not Placed,
5.91,121,81.65,73.52,74.77,1,2,5.92,0.12,0,2,0,EE,Not Placed,
5.4,86,66.03,65.6,92.89,0,5,5.07,5.86,0,2,10,CE,Not Placed,
7.15,80,84.91,74.35,68.5,2,1,3.58,8.33,1,1,0,IT,Not Placed,
6.25,137,92.63,71.24,78.63,2,1,5.66,,0,4,0,ECE,Placed,4.67
6.41,90,87.01,66.06,73.94,0,0,10.0,7.88,0,0,0,CSE,Placed,8.66
6.46,112,81.04,80.82,69.21,1,7,5.07,5.74,1,1,0,CSE,Not Placed,
7.56,106,74.73,76.47,73.13,0,5,5.87,7.88,2,0,0,EE,Not Placed,
4.71,91,87.43,79.77,73.58,4,0,6.45,6.25,0,0,0,CE,Not Placed,
7.71,117,76.07,93.03,57.64,2,4,3.81,6.1,2,0,10,CSE,Not Placed,
6.5,78,66.76,60.72,74.77,0,5,3.0,3.4,0,0,4,CE,Not Placed,
7.69,91,100.0,68.23,60.55,0,7,6.94,8.85,0,1,7,IT,Placed,5.98
5.86,92,83.56,73.19,61.93,0,3,1.56,7.97,0,1,0,CSE,Not Placed,
6.23,119,60.13,90.35,73.95,0,1,5.47,9.73,0,1,0,CSE,Not Placed,
7.2,109,67.88,100.0,61.88,2,3,2.37,6.17,0,1,0,EE,Placed,8.04
6.3,109,62.58,73.14,76.09,2,0,3.23,4.89,0,0,0,ECE,Not Placed,
6.21,116,81.73,74.26,70.18,1,2,6.88,8.03,0,0,0,ECE,Placed,3.52
5.07,93,87.8,65.8,72.49,2,3,6.34,5.54,0,1,0,ME,Not Placed,
6.52,99,89.93,61.45,71.66,0,5,4.17,8.6,0,0,0,IT,Not Placed,
8.19,82,92.9,81.7,53.08,0,3,6.08,6.91,0,1,0,EE,Placed,7.92
8.07,84,84.62,92.72,80.39,0,2,3.92,3.96,0,3,0,CE,Not Placed,
7.3,99,66.91,73.72,72.85,0,2,6.73,7.39,3,0,0,IT,Not Placed,
7.54,112,77.55,71.43,62.84,1,2,2.97,5.74,0,1,0,CSE,Not Placed,
8.15,103,66.78,86.68,67.77,1,3,3.79,5.75,1,0,11,CE,Placed,5.96
6.7,99,83.16,61.59,73.18,0,1,5.47,7.13,0,0,0,ECE,Not Placed,
6.31,115,74.94,78.81,63.6,3,2,7.03,6.53,0,2,0,ECE,Placed,7.91
7.38,99,85.18,69.35,65.01,0,3,7.88,6.49,0,0,0,ME,Not Placed,
10.0,130,92.48,56.48,55.93,3,3,8.14,4.39,1,2,0,CSE,Placed,11.89
7.71,80,86.48,61.08,76.4,0,1,7.25,4.62,0,0,0,ECE,Not Placed,
7.29,111,78.08,84.48,72.08,0,4,5.91,5.59,0,0,0,CSE,Not Placed,
7.32,76,73.44,60.8,78.11,0,2,2.1,7.04,1,2,0,CSE,Not Placed,
6.25,99,75.05,81.34,65.7,1,1,7.48,4.79,1,0,0,CSE,Not Placed,
8.16,100,74.71,69.62,70.7,0,1,5.61,8.96,0,0,12,IT,Not Placed,
6.27,100,83.83,66.52,60.25,0,4,5.4,6.34,0,0,0,IT,Placed,4.45
8.73,96,63.83,75.09,73.85,2,3,7.63,5.67,1,0,0,CSE,Placed,8.91
6.47,104,60.78,57.93,59.32,0,2,7.12,4.44,0,2,0,CSE,Not Placed,
7.17,70,82.29,54.71,69.69,1,2,5.82,7.62,2,1,0,IT,Placed,8.22
5.37,85,80.05,82.49,66.68,1,1,6.5,4.95,0,1,0,IT,Not Placed,
7.01,117,72.56,100.0,78.74,1,1,9.11,3.59,1,1,0,ECE,Not Placed,
6.05,127,65.96,74.59,68.76,1,1,4.85,8.0,0,2,0,ME,Not Placed,
6.69,116,79.64,76.69,72.17,0,6,3.91,5.97,2,3,0,ECE,Not Placed,
8.63,103,89.29,66.2,78.94,2,4,6.58,5.32,0,2,0,CSE,Placed,9.53
6.89,85,69.42,74.97,86.78,3,4,8.92,8.07,1,3,0,CSE,Placed,5.32
7.6,107,74.29,81.36,74.04,0,3,3.35,7.49,0,2,0,CE,Not Placed,
5.73,131,73.53,64.19,81.19,1,1,8.46,4.68,0,0,0,ECE,Not Placed,
7.51,115,69.32,89.82,62.91,3,3,7.63,8.76,0,2,0,IT,Placed,8.33
6.93,96,76.39,86.25,78.71,0,3,6.16,6.09,0,0,0,IT,Placed,5.51
5.63,102,70.41,83.95,82.61,3,5,6.64,2.85,1,2,1,ME,Not Placed,
5.84,106,77.0,62.54,76.11,0,1,7.39,6.89,0,2,0,CSE,Not Placed,
6.18,116,66.63,62.67,75.42,0,3,8.57,,0,1,2,CSE,Placed,6.22
7.28,77,90.71,76.98,75.66,2,3,3.35,5.92,0,2,0,CSE,Placed,5.36
6.07,86,80.65,80.98,77.08,0,4,5.35,8.02,0,0,0,IT,Placed,4.11
5.05,121,90.66,57.93,95.39,0,1,7.94,6.71,0,0,0,CSE,Not Placed,
7.91,116,95.61,82.34,65.42,0,4,9.36,6.44,0,1,0,CE,Placed,6.67
7.47,110,88.1,67.27,84.0,2,4,5.35,6.11,1,3,7,ME,Not Placed,
6.96,96,92.58,74.13,73.77,3,3,8.53,4.36,1,1,0,EE,Placed,8.16
7.86,107,76.28,63.71,65.54,1,2,4.56,4.12,0,1,0,ME,Placed,6.28
7.69,86,73.99,71.75,72.86,1,2,4.12,7.02,0,2,13,IT,Placed,6.42
7.69,85,55.56,100.0,86.36,1,2,5.13,6.77,0,0,0,CE,Placed,6.29
6.28,108,57.68,74.37,83.04,0,4,6.06,5.61,0,0,0,CSE,Placed,5.37
5.14,105,81.25,73.41,66.4,2,3,8.1,5.47,2,1,0,EE,Not Placed,
7.33,80,82.2,73.11,61.46,1,0,8.09,,1,2,0,IT,Placed,6.47
6.83,70,74.69,79.86,74.7,2,5,4.25,5.56,1,2,0,EE,Placed,6.35
6.86,95,75.97,70.86,78.84,2,0,8.11,4.98,0,0,0,ECE,Not Placed,
9.21,102,84.61,67.28,66.22,0,3,5.11,6.0,0,1,0,CSE,Placed,6.56
8.59,104,71.93,73.07,74.4,4,3,5.84,6.85,1,2,0,CSE,Placed,9.96
7.27,88,94.44,72.64,88.1,1,3,4.91,7.01,0,1,1,IT,Placed,6.45
7.7,99,79.65,66.83,74.46,3,3,1.66,5.16,2,1,18,CSE,Not Placed,
8.25,101,63.18,63.68,80.81,2,3,4.26,7.15,0,1,0,ME,Placed,5.67
6.15,104,75.73,75.36,68.37,1,0,7.32,4.35,0,2,4,CSE,Placed,7.38
7.28,106,78.3,70.26,88.1,2,2,5.12,5.78,2,2,0,EE,Placed,7.65
8.43,124,66.44,65.85,75.78,1,4,5.62,6.42,0,0,0,IT,Placed,8.2
8.1,94,91.97,62.29,73.98,1,4,3.46,6.1,0,0,16,CSE,Placed,6.34
5.47,112,81.99,75.63,70.37,0,4,5.26,6.3,0,0,10,CE,Placed,3.5
8.38,102,64.16,75.24,75.33,0,6,4.94,6.35,1,0,0,CSE,Placed,6.33
7.68,96,88.23,76.2,70.05,2,4,3.52,8.84,0,1,0,ECE,Placed,5.34
6.23,72,75.52,76.55,73.49,1,1,4.65,10.0,0,1,0,CSE,Placed,5.59
7.33,72,76.99,85.1,75.8,2,5,4.17,8.41,2,1,0,IT,Placed,4.93
6.22,100,90.9,72.54,81.99,2,3,6.02,7.24,0,3,0,CSE,Placed,4.08
6.14,111,77.32,65.47,79.45,4,5,4.47,5.82,0,2,0,ME,Placed,6.02
6.57,87,76.07,84.97,69.09,2,1,9.06,6.29,0,0,0,CSE,Placed,7.86
5.55,92,80.62,59.61,65.93,1,4,7.07,8.8,0,1,0,ECE,Placed,5.03
6.36,99,66.31,85.94,76.01,1,2,6.35,6.83,1,0,10,ECE,Not Placed,
6.02,120,66.18,77.05,70.74,2,3,3.15,8.25,0,0,0,EE,Not Placed,
7.27,103,77.45,74.88,66.77,1,2,4.94,5.97,0,1,0,CSE,Placed,9.38
6.74,100,93.93,65.0,71.49,3,0,5.92,3.62,0,1,0,ME,Placed,8.14
7.7,111,74.12,44.17,66.14,0,3,6.03,3.88,0,0,0,ECE,Not Placed,
7.53,95,89.27,89.07,84.17,0,4,6.82,6.43,0,1,0,ME,Placed,6.23
7.19,74,80.44,77.34,74.09,1,3,8.15,5.02,0,0,0,EE,Not Placed,
8.08,133,83.57,64.49,58.2,2,3,5.39,10.0,2,0,21,ME,Placed,5.18
6.61,107,58.88,79.6,79.98,4,4,6.01,10.0,0,2,0,CSE,Placed,6.57
7.67,89,68.94,74.21,69.24,1,7,3.14,5.93,0,0,0,ME,Not Placed,
6.11,94,87.53,85.83,60.81,0,3,5.94,3.31,1,0,0,IT,Not Placed,
7.55,96,85.35,74.68,76.73,2,1,3.3,8.04,0,2,0,CSE,Not Placed,
8.03,99,58.27,81.93,73.29,4,2,9.34,3.75,0,1,0,IT,Placed,10.31
4.92,81,65.88,83.26,62.81,0,3,4.79,5.55,0,1,0,CSE,Not Placed,
6.73,99,82.39,85.42,71.18,2,2,9.08,5.42,0,2,0,CSE,Not Placed,
7.67,104,76.94,65.72,77.44,1,2,1.99,1.61,0,0,0,EE,Placed,4.41
7.83,105,74.54,73.22,81.31,0,3,4.63,6.87,1,2,0,IT,Not Placed,
8.45,94,77.09,62.22,77.48,0,2,1.28,,0,1,0,ECE,Placed,4.18
5.12,84,66.66,77.57,69.31,0,4,7.67,4.59,2,2,0,CSE,Not Placed,
8.44,117,83.27,65.79,78.18,0,0,6.06,8.06,0,1,0,ME,Placed,6.56
7.48,90,66.4,74.37,67.61,0,2,2.78,4.67,0,0,0,CE,Not Placed,
5.69,98,75.48,59.51,77.52,3,1,4.76,8.05,0,0,0,ECE,Placed,7.43
6.91,72,77.68,72.89,72.6,2,3,8.75,7.73,0,0,0,IT,Placed,7.38
7.14,80,81.76,69.96,74.04,0,1,1.56,6.48,2,2,7,CSE,Not Placed,
7.34,119,80.25,76.03,69.52,1,3,5.39,5.99,0,3,24,EE,Placed,6.05
6.76,83,96.48,79.26,84.53,0,5,4.14,4.31,2,0,0,ME,Not Placed,
7.33,111,66.91,84.32,90.65,1,0,2.74,4.48,1,0,1,IT,Not Placed,
7.24,94,77.4,73.14,71.54,2,1,5.4,7.19,1,3,0,ECE,Not Placed,
6.52,118,81.15,48.58,57.66,1,4,8.53,7.42,1,1,0,CSE,Placed,7.04
4.96,114,71.69,69.39,78.58,1,3,6.66,6.86,0,2,0,CSE,Not Placed,
6.38,102,66.72,71.52,87.44,3,2,8.74,5.8,1,2,0,IT,Placed,6.7
5.78,98,73.44,56.37,89.93,3,5,8.01,7.53,1,0,2,ECE,Placed,4.93
6.2,90,84.85,80.45,89.44,3,3,8.06,5.23,1,1,0,CSE,Placed,6.85
6.21,75,65.13,69.69,73.0,0,2,5.91,7.83,0,1,1,ECE,Placed,4.0
7.43,90,83.48,61.32,62.86,1,3,5.37,8.83,0,1,0,ECE,Not Placed,
5.61,105,76.07,70.45,71.13,1,3,5.45,5.44,0,2,0,ME,Not Placed,
8.42,91,100.0,79.37,69.0,2,2,3.6,2.09,0,1,0,CSE,Placed,6.57
7.29,111,80.07,76.0,81.0,1,2,3.91,7.7,0,1,0,CSE,Placed,6.27
4.81,107,66.7,90.18,66.46,2,2,4.64,9.9,0,0,0,IT,Not Placed,
6.06,116,88.49,85.4,84.69,4,2,6.47,6.25,0,1,0,ECE,Not Placed,
8.67,93,73.26,71.43,62.89,3,8,6.83,5.72,0,1,0,IT,Placed,7.47
6.89,109,71.79,84.56,86.83,0,2,7.5,5.68,1,1,0,ECE,Not Placed,
7.23,80,67.21,61.65,77.1,1,2,8.37,5.01,1,1,0,CSE,Not Placed,
6.69,83,62.03,95.4,62.96,1,1,5.34,6.06,0,2,0,ECE,Not Placed,
7.7,134,75.92,72.15,67.49,1,0,4.05,6.01,0,1,0,CSE,Not Placed,
7.86,96,71.63,77.3,58.18,1,3,8.83,5.12,0,2,0,ME,Placed,9.87
4.0,112,79.11,68.68,73.69,0,2,8.11,5.37,1,3,0,IT,Placed,5.74
7.6,118,84.22,88.89,79.45,0,2,3.86,5.94,2,0,0,ECE,Not Placed,
7.73,106,82.78,77.14,71.6,0,1,6.93,9.4,0,1,0,ECE,Placed,7.64
6.54,109,82.22,78.23,59.85,0,2,4.11,6.23,0,1,0,CSE,Not Placed,
8.74,93,55.58,62.07,86.73,3,3,4.18,7.17,1,0,0,EE,Placed,5.98
5.59,112,95.11,98.58,63.58,0,4,5.86,6.73,0,1,0,IT,Not Placed,
8.04,121,75.69,,84.39,0,3,9.2,7.46,1,1,0,CSE,Placed,6.75
6.58,101,64.74,61.99,65.4,0,2,7.74,6.2,1,0,0,ECE,Not Placed,
7.35,95,77.86,78.0,68.79,3,5,4.42,7.37,1,1,0,ECE,Not Placed,
8.73,98,78.93,55.3,89.44,3,1,4.45,6.63,0,0,17,CSE,Placed,8.43
7.01,87,84.75,92.69,68.02,5,3,6.26,7.13,1,2,0,ECE,Placed,7.74
8.75,105,69.5,90.55,73.9,4,1,5.14,5.29,0,3,2,ECE,Placed,7.78
6.61,129,86.74,64.22,75.76,0,5,9.42,6.86,0,0,0,ECE,Placed,7.19
8.12,109,74.45,75.9,64.03,1,1,3.56,4.19,0,0,0,EE,Placed,4.56
7.1,94,76.38,68.26,76.38,1,1,5.68,5.72,3,1,0,ECE,Not Placed,
6.78,109,65.85,87.52,73.35,1,6,7.7,5.67,1,1,0,CSE,Not Placed,
8.63,119,76.92,73.03,76.14,0,1,5.54,6.81,1,1,0,ECE,Placed,8.04
6.57,106,62.5,72.67,70.99,2,2,3.41,7.95,1,0,0,ME,Not Placed,
